#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/06/21 16:48:44.481, 0.0, -1.755484945138809, -10.126590990416931, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:44.572, 0.1, -1.3166137088541068, -7.595917142355535, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:44.676, 0.2, -0.8777424725694045, -5.06524329429414, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:44.812, 0.3, -0.6583068544270534, -3.799906370263442, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:44.873, 0.4, -0.5266454835416428, -3.0407042158450235, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:44.976, 0.5, -0.43887123628470226, -2.5345694462327444, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.080, 0.6, -0.3761753453868876, -2.1730446107954022, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.171, 0.7, -0.3291534272135267, -1.9019009842173955, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.292, 0.8, -0.2925808241898015, -1.6910114968789458, 0.0, 4.440892098500626E-16, -0.0021299254848186067, -0.0035727046893443415, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.381, 0.9, -0.2633227417708214, -1.5222999070081862, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.472, 1.0, -0.23948112549551112, -1.3842631516593829, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.576, 1.1, -0.21970185882795337, -1.2692325222020466, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.682, 1.2, -0.2029655562630968, -1.1718989126612238, 0.0, 4.440892098500626E-16, -4.440892098500626E-16, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.787, 1.3, -0.18862015406464835, -1.0884701044833756, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
2018/06/21 16:48:45.876, 1.4, -0.17618747215932634, -1.016165137395907, 0.0, 4.440892098500626E-16, -0.0021299254848186067, 0.0, -0.0012985327237826638, 0, 0, 0, 0, 0, 0
