#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/05/31 16:18:35.416, 0.0, -1.8392046689006984, -3.067972065009671, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:35.512, 0.1, -1.3794035016755237, -2.3021869315812546, 0.0, 4.440892098500626E-16, 0.0, 4.440892098500626E-16, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:35.642, 0.2, -0.9196023344503491, -1.5364017981528377, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:35.731, 0.3, -0.6897017508377619, -1.1535092314386293, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:35.826, 0.4, -0.5517614006702095, -0.9235199486997612, 0.0, 4.440892098500626E-16, 0.0, 4.440892098500626E-16, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:35.913, 0.5, -0.45980116722517456, -0.7699823079485633, 0.0, 4.440892098500626E-16, 0.0, 4.440892098500626E-16, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.047, 0.6, -0.3941152861930068, -0.6603125645548504, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.136, 0.7, -0.34485087541888093, -0.5782188462035303, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.229, 0.8, -0.3065341114834497, -0.5143681763747256, 0.0, 4.440892098500626E-16, 0.0, 4.440892098500626E-16, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.317, 0.9, -0.27588070033510476, -0.463287640511682, 0.0, 4.440892098500626E-16, 0.0, 4.440892098500626E-16, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.409, 1.0, -0.25080063666827707, -0.42137913720994485, 0.0, 4.440892098500626E-16, 0.0, 4.440892098500626E-16, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.544, 1.1, -0.22990058361258728, -0.38656111058780684, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.634, 1.2, -0.21221592333469597, -0.3570997034459978, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.724, 1.3, -0.1970576430965034, -0.33184706875301856, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.814, 1.4, -0.18392046689006983, -0.3100460329225509, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:36.948, 1.5, -0.17242543770944047, -0.2909701265708917, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.037, 1.6, -0.16228276490300278, -0.2741384444958983, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.129, 1.7, -0.15326705574172486, -0.2591769493181264, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.218, 1.8, -0.14520036859742355, -0.24572997720663123, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.354, 1.9, -0.13794035016755238, -0.23362770230628555, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, -7.647013975247141E-4, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.443, 2.0, -0.1313717620643356, -0.22262340348710197, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.533, 2.1, -0.12540031833413853, -0.21261949546966233, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.622, 2.2, -0.11994813058048033, -0.20348549249721745, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.713, 2.3, -0.11495029180629364, -0.195112656439143, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.847, 2.4, -0.1103522801340419, -0.1874096472657145, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:37.940, 2.5, -0.10610796166734798, -0.18029917725947278, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.027, 2.6, -0.10217803716114991, -0.1737154087351749, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.117, 2.7, -0.0985288215482517, -0.16760190939118402, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.207, 2.8, -0.09513127597762233, -0.1619100306916063, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.341, 2.9, -0.09196023344503491, -0.15659761057200045, 0.0, 4.440892098500626E-16, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.434, 3.0, -0.030653411148344967, -0.05441645597512574, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.522, 3.1, 0.0, -0.0032876436068121516, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.612, 3.2, 0.0, -0.0032111734670596803, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.747, 3.3, 0.0, -0.003134703327307209, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.854, 3.4, -4.41501114079775E-5, -0.0031428355636876257, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:38.928, 3.5, -1.324503342239325E-4, -0.0031932582517918786, 0.0, 0.002649006684479094, 0.0, 0.002537427103430634, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:39.018, 3.6, -2.2075055703988747E-4, -0.0032859928643051836, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:39.106, 3.7, -3.0905077985584245E-4, -0.003336437025094652, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:39.242, 3.8, -3.9735100267179746E-4, -0.00338688118588412, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:39.333, 3.9, -4.8565122548775247E-4, -0.0034373253466735885, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
2018/05/31 16:18:39.423, 4.0, -5.739514483037075E-4, -0.003530059959186893, 0.0, 0.002649006684479094, 0.0, 0.005076142567973729, 0.0015294027950494282, 0, 0, 0, 0, 0, 0
