#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/06/22 15:19:55.782, 0.0, -1.6099347383342884, -2.5405186125798545, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:55.874, 0.1, -1.207976153527394, -1.9059214408060956, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.006, 0.2, -0.8060175687204999, -1.2713242690323365, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.098, 0.3, -0.6050382763170529, -0.9540256831454569, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.185, 0.4, -0.48445070087498465, -0.7636465316133292, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.274, 0.5, -0.4040589839136058, -0.6367270972585773, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.410, 0.6, -0.34663632894119234, -0.5460703584337546, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.499, 0.7, -0.30356933771188227, -0.4780778043151375, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.590, 0.8, -0.27007278897797443, -0.4251947066673243, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
2018/06/22 15:19:56.679, 0.9, -0.24327554999084816, -0.3828882285490737, 0.0, 0.0, -7.001330355707047E-4, 4.440892098500626E-16, -7.099751616062022E-4, 0, 0, 0, 0, 0, 0
