#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/07/03 14:49:26.030, 0.0, -1.9514535290014279, -2.2978402336416073, 0.0, 0.0, -0.0013619339651502749, -8.714597148440362E-4, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.108, 0.1, -1.4638455093695364, -1.7233801752312055, 0.0, 0.0, -0.0013619339651502749, -8.714597148440362E-4, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.242, 0.2, -0.9762374897376452, -1.1489201168208036, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.333, 0.3, -0.7324334799216996, -0.8616900876156027, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.422, 0.4, -0.5863553641269047, -0.6893520700924822, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.512, 0.5, -0.4889699535970415, -0.5744600584104018, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.647, 0.6, -0.41940894607571055, -0.4923943357803444, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.737, 0.7, -0.3672381904347124, -0.43084504380780136, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.873, 0.8, -0.32666093604726937, -0.38297337227360123, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:26.916, 0.9, -0.29419913253731494, -0.3446760350462411, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.053, 1.0, -0.2676394751200795, -0.31334185004203735, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.143, 1.1, -0.24550642727238334, -0.2872300292052009, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.277, 1.2, -0.22677846370894808, -0.2651354115740316, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.323, 1.3, -0.21072592351171787, -0.2461971678901722, 0.0, 0.0, -0.0013619339651502749, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.416, 1.4, -0.1968137220074517, -0.22978402336416073, 0.0, 0.0, 6.809669825749154E-4, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.547, 1.5, -0.1846405456912188, -0.21542252190390068, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.637, 1.6, -0.17389950776513094, -0.20275060885073004, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.727, 1.7, -0.16435191849749728, -0.19148668613680062, 0.0, 0.0, 6.809669825749154E-4, 0.0017429194296876283, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.817, 1.8, -0.15575557807520074, -0.18140843949802163, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:27.908, 1.9, -0.1479677991714407, -0.17233801752312056, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:28.041, 2.0, -0.14098646607859694, -0.1641314452601148, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:28.132, 2.1, -0.1347016089133627, -0.15667092502101868, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, 0.002195389716938667, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:28.225, 2.2, -0.12896326106684444, -0.14991600973435196, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:28.312, 2.3, -0.12370310887420272, -0.14377849878106094, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, -4.440892098500626E-16, 0, 0, 0, 0, 0, 0
2018/07/03 14:49:28.447, 2.4, -0.11886376885697233, -0.13813198870403323, 0.0, 0.0027196084434431, 6.809669825749154E-4, 0.004358666285055435, 0.002195389716938667, 0, 0, 0, 0, 0, 0
