#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/07/04 18:26:41.579, 0.0, 0.05742798896977375, -0.06415053369679846, 0.0, 0.014361504081208842, 0.06776331939762903, 0.04492555964846723, 0.05761268801208841, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:41.716, 0.1, 0.05620884780842883, -0.05784057582516766, 0.0, 0.00861107216502166, 0.05713632283606174, 0.04492555964846723, 0.05250021312903819, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:41.849, 0.2, 0.05498970664708377, -0.051530617953536716, 0.0, 0.00861107216502166, 0.05713632283606174, 0.04232207091482021, 0.05250021312903819, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:41.893, 0.3, 0.05438013606641123, -0.04646672095408233, 0.0, 0.0028672461456551446, 0.03859325522531609, 0.03711915681370481, 0.042290919127687676, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:41.987, 0.4, 0.0524473607367403, -0.04112721418304392, 0.0, -0.005736139974742649, 0.012221886075457267, 0.01895147526294716, 0.019395941449248166, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.073, 0.5, 0.04877228151911265, -0.0356199933646956, 0.0, -0.02004230137990337, -0.021854261546894627, -0.0017310774959544695, -0.00592056833348531, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.212, 0.6, 0.04467359347861447, -0.02964914619999678, 0.0, -0.03430764629193561, -0.058293777334851526, -0.019758395505129922, -0.03110953848327158, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.299, 0.7, 0.04213728908076564, -0.025171010826472662, 0.0, -0.03145783145274628, -0.01662686953912962, -0.0017310774959544695, -8.675108038680435E-4, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.389, 0.8, 0.041629683946319794, -0.02185953038820005, 0.0, -0.011463517462386719, 0.06244699779097873, 0.050136607540685496, 0.06017088709577845, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.480, 0.9, 0.04337265125832128, -0.018723662236186066, 0.0, -0.008600648789841792, 0.05713632283606174, 0.06580241670087039, 0.06529121524422976, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.568, 1.0, 0.04479871542268614, -0.01615795192999281, 0.0, -0.005736139974742649, 0.06776331939762903, 0.06318803755633873, 0.07041679232045661, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.751, 1.1, 0.046106456760285984, -0.014019860008165094, 0.0, -0.008600648789841792, 0.06776331939762903, 0.060575024693105384, 0.07041679232045661, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.795, 1.2, 0.046406637442388585, -0.012509267315702463, 0.0, -0.01432474786950877, 0.03330784247098917, 0.047530404719103636, 0.0499459346571407, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.886, 1.3, 0.04592653266739829, -0.011296306188413327, 0.0, -0.02575332427378818, 0.0043375217610504, 0.024135508905148484, 0.027015958164124054, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:42.974, 1.4, 0.045533589182510395, -0.010245073211429407, 0.0, -0.03715583776741482, -0.01662686953912962, 0.008599504691404913, 0.006721663433308045, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.110, 1.5, 0.04536823309866736, -0.00932524435656848, 0.0, -0.04853240695309147, -0.0505076350918201, -0.006888375529265911, -0.01349059248956097, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.244, 1.6, 0.04568648305137017, -0.008291969565319073, 0.0, -0.03715583776741482, 0.020118702668237454, 0.029324922967248757, 0.03974184948287718, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.290, 1.7, 0.046997639125101145, -0.007384132166445573, 0.0, -0.02575332427378818, 0.06510445201245085, 0.07365376612886498, 0.08068373637966708, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.425, 1.8, 0.04847153078065727, -0.006711806309663171, 0.0, -0.028606391398277253, 0.05713632283606174, 0.07889485675550789, 0.08325376984668598, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.516, 1.9, 0.049869359948769995, -0.005978573611653349, 0.0, -0.028606391398277253, 0.06244699779097873, 0.07889485675550789, 0.08582512500749706, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.605, 2.0, 0.05101257719523577, -0.0053151725991682705, 0.0, -0.03430764629193561, 0.04918087167485208, 0.07365376612886498, 0.0781150232484209, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.696, 2.1, 0.05152093573491019, -0.004941301770265769, 0.0, -0.042847358017716, 0.012221886075457267, 0.052744169529380436, 0.05250021312903819, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.785, 2.2, 0.05171255635751742, -0.004425998044363693, 0.0, -0.05421099927272799, -0.01662686953912962, 0.029324922967248757, 0.027015958164124054, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:43.876, 2.3, 0.05194754591731319, -0.003953636295620122, 0.0, -0.07120818278004837, -0.04790955761065607, 0.008599504691404913, 0.006721663433308045, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.011, 2.4, 0.05227756671733131, -0.0035190634867760372, 0.0, -0.07403543759103126, -0.0453101294262952, 0.011185488715948821, 0.011787519996342422, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.099, 2.5, 0.05288616524156941, -0.003078756103209239, 0.0, -0.05704787878145545, 0.028028010934969316, 0.05796337668387164, 0.07041679232045661, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.190, 2.6, 0.054006123491715234, -0.0025839304976863118, 0.0, -0.051372509273135414, 0.03594985045848542, 0.07365376612886498, 0.0781150232484209, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.279, 2.7, 0.055056858147777485, -0.0020768029993217646, 0.0, -0.051372509273135414, 0.028028010934969316, 0.0684181635562382, 0.07554762909701696, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.414, 2.8, 0.05603512834480096, -0.0016046498111892558, 0.0, -0.04853240695309147, 0.028028010934969316, 0.07103527955422573, 0.07554762909701696, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.554, 2.9, 0.056684745114364325, -0.0012025013447418242, 0.0, -0.051372509273135414, 0.012221886075457267, 0.055353092103573864, 0.06017088709577845, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.595, 3.0, 0.0570718059487633, 0.0010728870506104679, 0.0, -0.059883149625787446, -0.019241248683661283, 0.03451972862934394, 0.03464760553736301, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.683, 3.1, 0.05715391975881414, 0.002933808809660062, 0.0, -0.06837932839058602, -0.053104363272751254, 0.013772810895286813, 0.009253950142284584, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.774, 3.2, 0.05736827249976343, 0.004374066710600921, 0.0, -0.06554887261163067, -0.029685116710619575, 0.021542820228957815, 0.02447466204842552, 0, 0, 0, 0, 0, 0
2018/07/04 18:26:44.911, 3.3, 0.05822860222847906, 0.005765227848532684, 0.0, -0.045690690479895046, 0.03594985045848542, 0.07365376612886498, 0.0781150232484209, 0, 0, 0, 0, 0, 0
