#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/06/28 15:19:38.748, 0.0, 0.0, -0.019480350439780025, 0.0, 0.0, -0.022798873642380535, 0.0027998130274058397, -0.00919743690602104, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:38.857, 0.1, -0.0020576136333358974, -0.02222016614756228, 0.0, 0.0, -0.033704003374182, -0.005601197069960762, -0.02296017612122281, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:38.973, 0.2, -0.004115227266671795, -0.02495998185534513, 0.0, 0.0, -0.0716857378338549, -0.016780631576379434, -0.03942561361357111, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.062, 0.3, -0.005828965658738028, -0.028037831224664744, 0.0, -0.011918956776382217, -0.09595108607922231, -0.027935125884717138, -0.06402254761266235, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.153, 0.4, -0.009045395993877037, -0.029044439836519765, 0.0, -0.02380956880121765, -0.12009924141594208, -0.04184334069410145, -0.08849907187972761, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.240, 0.5, -0.013465312061270662, -0.029248920183719534, 0.0, -0.011918956776382217, -0.1307944326596897, -0.052942124385665146, -0.09933918452681123, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.376, 0.6, -0.01992121144978373, -0.028596446538403746, 0.0, -0.011918956776382217, -0.06898230440762676, -0.03071986558354567, -0.06402254761266235, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.512, 0.7, -0.024528405387608587, -0.029299905412754956, 0.0, -0.011918956776382217, -0.04186727049360783, -0.011194038816416452, -0.04763804360108814, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.555, 0.8, -0.028865994981532958, -0.029847040092805897, 0.0, 0.0, -0.055443168054698067, -0.00839839994011804, -0.036685136701994914, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.647, 0.9, -0.032336066656672456, -0.03028474783684665, 0.0, 0.0, -0.05273093582111876, -0.005601197069960762, -0.03394315692392702, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.735, 1.0, -0.03591351483538461, -0.031016164626858078, 0.0, 0.0, -0.07708822350262601, -0.005601197069960762, -0.04763804360108814, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.871, 1.1, -0.03873584508092054, -0.032075591587351404, 0.0, -0.011918956776382217, -0.12812277884245082, -0.016780631576379434, -0.06947213943279085, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:39.960, 1.2, -0.04205725329811892, -0.03317318400404716, 0.0, -0.011918956776382217, -0.1494561445393292, -0.03071986558354567, -0.08849907187972761, 0, 0, 0, 0, 0, 0
2018/06/28 15:19:40.052, 1.3, -0.04576660874631466, -0.034209150794118556, 0.0, -0.011918956776382217, -0.15477529397715495, -0.04184334069410145, -0.10204554453875891, 0, 0, 0, 0, 0, 0
