#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:97
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/06/22 16:26:46.379, 0.0, -5.946064802597796, -3.0165319387861476, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:46.487, 0.1, -4.460220103441799, -2.262974063370517, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:46.572, 0.2, -2.9743754042858015, -1.5094161879548864, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:46.677, 0.3, -2.231453054707803, -1.1323496956066181, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:46.782, 0.4, -1.7856996449610036, -0.9061098001976571, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:46.871, 0.5, -1.4885307051298042, -0.7552832032583497, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:46.977, 0.6, -1.2762671766789475, -0.6475499197302731, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.080, 0.7, -1.117069530340805, -0.5667499570842156, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.170, 0.8, -0.9932491387444718, -0.5040333437552612, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.290, 0.9, -0.8941928254674053, -0.4538600530920977, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.381, 1.0, -0.8131467509679873, -0.4128091789131458, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.472, 1.1, -0.7456083555518056, -0.3786001170973525, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.575, 1.2, -0.6884604825073442, -0.3496539878686043, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.682, 1.3, -0.6394765913263772, -0.3248430199582487, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.772, 1.4, -0.5970238856362059, -0.3033401811026072, 0.0, 0.0017906706492052393, 0.0, 0.002644803023846176, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.877, 1.5, -0.5598777681573059, -0.2845251971039209, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:47.981, 1.6, -0.5271017821465119, -0.26792374063449176, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:48.071, 1.7, -0.4979675723591394, -0.2531668904394437, 0.0, 0.0017906706492052393, 0.0, 0.002644803023846176, -0.0015336247490838062, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:48.178, 1.8, -0.4719001214967535, -0.23996339289650592, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
2018/06/22 16:26:48.280, 1.9, -0.44843941572060614, -0.22808024510786193, 0.0, 0.0017906706492052393, 0.0, -4.440892098500626E-16, 7.668123745419031E-4, 0, 0, 0, 0, 0, 0
