#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-06-21,15:08:40,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1485,2711,1290,2682,0,1,0,1
2018-06-21,15:08:41,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1841,2378,1906,2560,0,0,0,1
2018-06-21,15:15:23,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1480,3567,1286,3500,0,600,0,600
2018-06-21,15:15:23,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1480,2708,1287,2680,0,1,0,1
2018-06-21,15:15:24,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1835,2373,1902,2556,0,0,0,1
2018-06-21,15:53:22,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1557,3543,356,4095,0,600,0,600
2018-06-21,15:53:23,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1556,2686,355,2490,0,1,0,0
2018-06-21,15:53:24,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1930,2361,1381,1273,0,0,0,0
2018-06-21,16:43:05,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1547,3550,361,4095,0,600,0,600
2018-06-21,16:43:07,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1546,2688,360,2512,0,1,0,1
2018-06-21,16:43:08,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1917,2347,1400,1284,0,0,0,0
2018-06-21,16:48:41,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1545,3552,361,4095,0,600,0,600
2018-06-21,16:48:43,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1545,2690,360,2509,0,1,0,1
2018-06-21,16:48:44,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1915,2347,1399,1283,0,0,0,0
2018-06-21,16:55:30,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1543,3560,360,4095,0,600,0,600
2018-06-21,16:55:32,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1542,2696,359,2515,0,1,0,1
2018-06-21,16:55:32,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1912,2348,1395,1285,0,0,0,0
2018-06-21,16:55:47,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1542,3560,360,4095,0,600,0,600
2018-06-21,16:55:48,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1542,2696,359,2515,0,1,0,1
2018-06-21,16:55:49,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1911,2347,1395,1285,0,0,0,0
2018-06-21,16:58:16,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1539,3560,359,4095,0,600,0,600
2018-06-21,16:58:17,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1539,2696,358,2513,0,1,0,1
2018-06-21,16:58:17,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1908,2344,1393,1283,0,0,0,0
2018-06-21,16:59:18,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1542,3565,360,4095,0,600,0,600
