#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7c:34:25:88
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2018/05/24 13:18:36.941, 0.0, -4.826572719416191, -3.0936888790504313, 0.0, 0.0, 0.0, -8.611039544001997E-4, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.040, 0.1, -3.6199295395621434, -2.320912487253624, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.136, 0.2, -2.4132863597080956, -1.5481360954568162, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.241, 0.3, -1.8099647697810717, -1.1617478995584123, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.334, 0.4, -1.4479718158248573, -0.92991498201937, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.438, 0.5, -1.2066431798540478, -0.7753597036600084, 0.0, 0.0, 0.0, -8.611039544001997E-4, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.543, 0.6, -1.034265582732041, -0.6649630762604645, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.630, 0.7, -0.9049823848905358, -0.5821656057108064, 0.0, 0.0, 0.0, -8.611039544001997E-4, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.735, 0.8, -0.8044287865693652, -0.5177675730610725, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.840, 0.9, -0.7239859079124287, -0.4662491469412853, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:37.930, 1.0, -0.658169007193117, -0.42409770738873215, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.035, 1.1, -0.6033215899270239, -0.3889715077616045, 0.0, 0.0, 0.0, 0.0017222079088003994, -0.002313208461337979, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.158, 1.2, -0.5569122368557143, -0.35924933884634264, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.233, 1.3, -0.5171327913660205, -0.33377319406183253, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.338, 1.4, -0.4826572719416191, -0.3116938685819237, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.443, 1.5, -0.4524911924452679, -0.2923744587870035, 0.0, 0.0, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.539, 1.6, -0.42587406347789925, -0.27532792073266216, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.638, 1.7, -0.4022143932846826, -0.26017544246213653, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.740, 1.8, -0.3810452146907519, -0.2466179619042978, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.833, 1.9, -0.3620616541503042, -0.23441622940224294, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:38.951, 2.0, -0.3449514805128418, -0.22337656666228853, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.043, 2.1, -0.3293967772060578, -0.21334050962596637, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.134, 2.2, -0.3151946567955159, -0.2041771532014983, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, -0.002313208461337979, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.236, 2.3, -0.3021760464191858, -0.19577740981240255, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.341, 2.4, -0.2901989248729621, -0.18804964589443446, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.430, 2.5, -0.27914312036875566, -0.18091632535477162, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, -0.002313208461337979, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.535, 2.6, -0.26890626434634224, -0.1743113989291579, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, -0.002313208461337979, 0, 0, 0, 0, 0, 0
2018/05/24 13:18:39.640, 2.7, -0.2594006123255298, -0.16817825296251657, 0.0, 0.0027480077635937405, 0.0, 0.0017222079088003994, 0.0, 0, 0, 0, 0, 0, 0
