#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-05-24,13:18:35,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1061,3848,1312,3665,0,600,0,600
2018-05-24,13:18:36,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1061,2772,1312,2721,0,1,0,1
2018-05-24,13:18:36,78:61:7c:34:25:88,OK,7,1,6,1,1,1,1,1,1820,1811,1935,2161,0,0,0,0
2018-05-24,13:33:20,78:61:7c:34:25:88,ST,4,6,4,6,1,1,1,1,2201,791,1140,2605,0,0,0,1
2018-05-24,13:33:21,78:61:7c:34:25:88,OK,3,15,7,4,1,1,1,1,1678,1870,1956,1844,0,0,0,0
2018-05-24,13:35:24,78:61:7c:34:25:88,ST,4,6,4,6,1,1,1,0,162,616,154,16,0,0,0,0
2018-05-24,13:35:25,78:61:7c:34:25:88,1,4,6,4,10,1,1,1,0,162,604,155,2664,0,0,0,596
2018-05-24,13:35:25,78:61:7c:34:25:88,2,4,6,4,6,1,1,1,0,162,594,154,16,0,0,0,0
2018-05-24,13:35:26,78:61:7c:34:25:88,3,4,6,4,10,1,1,1,0,162,590,155,2662,0,0,0,596
2018-05-24,13:35:27,78:61:7c:34:25:88,RE,4,6,4,6,1,1,1,0,162,609,154,17,0,0,0,0
2018-05-30,13:17:11,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1151,3826,1037,3726,0,600,0,600
2018-05-30,13:17:12,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1151,2749,1037,2718,0,1,0,1
2018-05-30,13:17:14,78:61:7c:34:25:88,OK,7,1,7,1,1,1,1,1,1975,1795,1778,1979,0,0,0,0
2018-05-30,13:18:37,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1363,3699,1326,3584,0,600,0,600
2018-05-30,13:18:38,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1362,2721,1325,2693,0,1,0,1
2018-05-30,13:18:38,78:61:7c:34:25:88,OK,6,1,6,1,1,1,1,1,2014,2025,1955,2306,0,0,0,0
2018-05-30,13:19:22,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1427,3664,1402,3521,0,600,0,600
2018-05-30,13:19:23,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1426,2701,1402,2669,0,1,0,1
2018-05-30,13:19:24,78:61:7c:34:25:88,OK,5,1,5,1,1,1,1,1,1767,2041,1733,2418,0,0,0,0
2018-05-31,16:20:50,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1485,3787,1611,3620,0,600,0,600
2018-05-31,16:20:51,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1485,2746,1610,2702,0,1,0,1
2018-05-31,16:20:51,78:61:7c:34:25:88,OK,5,1,5,1,1,1,1,1,1840,1882,1991,2234,0,0,0,0
2018-05-31,16:31:32,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1587,3776,1591,3603,0,600,0,600
2018-05-31,16:31:33,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1587,2750,1591,2702,0,1,0,1
2018-05-31,16:31:34,78:61:7c:34:25:88,OK,5,1,5,1,1,1,1,1,1966,1917,1967,2285,0,0,0,0
2018-05-31,16:33:10,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1583,3811,1587,3636,0,600,0,600
2018-05-31,16:33:11,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1583,2774,1587,2727,0,1,0,1
2018-05-31,16:33:12,78:61:7c:34:25:88,OK,5,1,5,1,1,1,1,1,1961,1914,1962,2282,0,0,0,0
2018-05-31,16:54:32,78:61:7c:34:25:88,ST,4,6,4,6,1,0,1,0,1488,3862,1536,3681,0,600,0,600
2018-05-31,16:54:33,78:61:7c:34:25:88,1,4,2,4,2,1,1,1,1,1488,2782,1536,2734,0,1,0,1
2018-05-31,16:54:34,78:61:7c:34:25:88,OK,5,1,5,1,1,1,1,1,1843,1814,1899,2170,0,0,0,0
2018-05-31,17:46:44,78:61:7c:34:25:88,ST,4,6,4,6,1,0,0,0,1444,3825,4095,3674,0,600,600,600
2018-05-31,17:46:45,78:61:7c:34:25:88,1,4,2,1,2,1,1,1,1,1445,2778,1586,2740,0,1,0,1
2018-05-31,17:46:46,78:61:7c:34:25:88,OK,5,1,1,1,1,1,1,1,1789,1887,1586,2210,0,0,0,0
